temperature,humidity,luminosity,soil_moisture,needs_water
28.4,91,480,27,0
25.1,89,3278,25,0
14.4,29,1555,58,0
13.0,84,1015,70,0
15.8,72,1160,37,0
37.4,91,1973,57,0
34.3,72,3829,57,0
18.1,44,4851,82,0
23.0,32,417,100,0
37.3,38,2732,87,0
37.1,39,895,25,1
19.0,67,3431,56,0
29.5,35,677,81,0
14.0,21,1706,71,0
36.2,57,444,100,0
34.9,37,3084,20,1
21.4,66,341,17,1
15.6,39,1179,70,0
27.7,53,689,74,0
24.7,26,1657,93,0
27.1,27,2422,65,0
32.7,64,4610,79,0
39.8,84,575,77,0
19.0,72,2984,65,0
15.7,81,70,54,0
33.9,30,2608,10,1
37.2,72,368,23,1
29.3,61,2736,66,0
30.7,16,293,8,1
27.2,16,4984,35,1
16.4,69,2858,6,1
27.0,52,1348,33,0
32.5,69,2321,19,1
13.1,71,1235,30,0
33.2,81,3757,4,1
35.9,13,464,53,0
34.3,58,92,78,0
13.9,19,146,46,0
11.0,87,107,94,0
29.3,16,4402,45,1
34.6,66,1078,91,0
31.6,94,3486,51,0
18.4,43,3612,39,0
16.8,89,3948,20,0
36.2,75,4346,4,1
31.5,92,4353,12,1
21.2,75,3598,54,0
13.1,58,1699,84,0
33.7,30,1409,100,0
40.3,17,1615,58,0
24.8,44,4483,81,0
23.7,63,475,70,0
40.7,47,1410,58,0
16.9,11,3326,65,0
39.7,50,2223,51,0
20.2,48,2273,2,1
39.3,67,1969,53,0
14.0,70,3158,36,0
34.2,42,4599,43,0
15.7,86,2232,76,0
39.2,43,790,51,0
23.9,92,502,77,0
11.6,37,309,61,0
40.8,53,1957,68,0
30.5,33,2508,43,0
25.9,39,1484,20,0
25.8,59,1191,38,0
38.7,59,3554,68,0
36.2,51,4051,6,1
21.3,28,2088,74,0
20.8,14,2623,68,0
24.9,91,66,13,1
33.2,11,550,55,0
34.8,58,4826,30,1
40.8,19,325,27,1
33.5,52,4170,11,1
27.5,35,4033,33,0
27.1,23,3089,91,0
40.0,47,1850,38,1
27.5,18,4364,28,1
38.0,13,2273,90,0
40.5,94,2601,84,0
16.0,41,3967,3,1
22.3,56,322,18,1
38.3,21,4711,89,0
16.3,46,269,46,0
22.7,92,4225,15,1
11.5,17,82,18,1
41.5,46,2363,82,0
21.4,71,313,83,0
40.1,81,4622,21,1
38.2,14,3948,93,0
20.7,22,3089,89,0
10.2,37,1721,36,0
32.1,35,3291,43,0
12.8,45,320,75,0
37.8,32,571,54,0
14.3,94,2066,74,0
41.3,69,2169,90,0
27.9,47,4668,55,0
14.0,54,4567,2,1
25.6,44,4237,18,1
31.6,10,3871,67,0
11.7,76,2584,56,0
27.9,73,1178,22,0
35.8,56,2726,96,0
18.3,90,865,51,0
21.6,15,4909,26,1
40.8,85,1459,7,1
27.3,59,2064,62,0
39.0,94,2422,37,1
30.5,24,1950,42,0
26.5,72,4067,8,1
41.1,71,502,76,0
31.3,56,3398,36,1
29.0,16,115,34,0
17.5,82,2216,51,0
35.6,68,483,14,1
42.0,90,105,98,0
17.7,25,3043,59,0
19.5,41,3401,62,0
27.7,70,2076,25,0
29.9,45,1645,92,0
27.2,45,3336,73,0
39.4,60,2238,11,1
13.3,84,2548,45,0
10.4,67,4767,90,0
37.5,83,4511,86,0
20.6,35,1033,61,0
23.6,82,2514,13,1
13.8,21,4727,17,1
12.3,40,1042,67,0
15.8,17,4625,38,1
19.4,31,1140,19,1
18.2,75,4761,63,0
13.2,94,4627,91,0
40.0,53,3421,82,0
26.3,37,2467,26,0
18.2,84,2996,46,0
33.2,23,297,10,1
21.4,30,3032,6,1
34.0,32,3065,57,0
22.0,56,2768,28,0
28.0,83,988,44,0
38.4,38,2047,2,1
20.5,68,3490,54,0
25.0,11,3409,8,1
28.8,65,4149,97,0
40.3,28,4705,17,1
21.9,74,118,36,0
11.0,65,2701,77,0
24.8,46,719,99,0
35.4,59,491,13,1
27.9,92,4592,59,0
29.1,86,2203,69,0
26.3,73,3479,99,0
35.9,63,2427,59,0
40.6,33,1778,43,0
24.8,53,1803,81,0
27.4,71,3460,48,0
21.9,50,3844,7,1
33.1,30,1385,35,1
12.1,92,22,65,0
40.5,12,4289,52,0
12.2,67,1241,18,1
15.5,20,3438,0,1
24.0,87,3084,92,0
25.1,60,4633,74,0
28.7,57,617,96,0
40.0,65,2604,72,0
31.1,74,3182,43,0
32.9,76,2066,50,0
40.2,20,3002,25,1
14.6,28,1263,12,1
28.7,40,4986,29,0
14.4,55,2164,2,1
34.3,15,732,55,0
19.4,70,924,32,0
41.1,49,2237,51,0
18.5,54,428,73,0
18.9,64,2285,60,0
13.0,55,2936,40,0
31.6,56,3628,72,0
20.2,94,3265,47,0
25.7,82,2702,98,0
30.6,93,2483,6,1
29.8,52,1606,75,0
22.4,58,1087,99,0
22.7,45,4994,16,1
35.8,62,1944,5,1
39.8,47,739,86,0
23.7,15,4649,84,0
19.0,71,1992,37,0
17.7,79,4,6,1
21.0,47,4496,7,1
30.0,76,1199,84,0
39.0,58,180,86,0
28.2,21,4045,14,1
14.7,43,4243,24,0
21.3,73,468,47,0
39.2,35,2766,7,1
28.9,55,748,45,0
38.7,93,4877,35,1
37.8,86,1591,58,0
12.6,62,2833,97,0
26.3,89,2015,81,0
16.4,18,4755,46,1
13.5,80,2445,87,0
31.8,89,924,60,0
24.7,36,380,89,0
17.7,51,2443,94,0
18.0,75,4548,47,0
24.1,75,1796,82,0
25.6,85,4170,23,0
41.8,20,3275,32,1
10.3,32,1459,39,0
34.0,77,1215,68,0
25.8,57,2436,79,0
15.4,30,4158,25,0
24.2,53,205,61,0
23.8,31,1875,91,0
19.5,89,3575,95,0
18.0,25,1924,93,0
40.7,34,204,61,0
25.4,85,4149,83,0
11.9,52,2986,90,0
39.2,48,4879,57,0
17.0,68,4711,100,0
34.0,75,4875,10,1
32.8,31,572,44,0
12.3,67,4234,16,1
40.7,17,4475,13,1
35.8,43,3697,72,0
21.5,15,1212,12,1
22.8,49,3024,43,0
31.6,23,476,99,0
14.8,34,4036,57,0
27.9,69,2379,77,0
24.7,49,4442,66,0
40.3,95,657,54,0
38.8,31,148,97,0
39.0,81,1928,90,0
40.3,88,127,45,0
11.6,82,4302,60,0
31.8,62,2356,96,0
21.7,73,73,1,1
35.4,15,37,27,1
30.3,89,993,93,0
27.9,33,871,56,0
20.0,63,839,41,0
17.1,14,3360,49,1
15.9,49,3947,24,0
22.1,14,4248,84,0
30.1,45,2313,59,0
29.9,27,4176,96,0
14.9,79,4945,99,0
34.3,89,3662,33,1
22.3,41,4184,68,0
13.5,11,796,97,0
40.1,83,4089,60,0
39.9,49,1973,85,0
38.8,11,2760,32,1
37.7,24,600,10,1
27.3,78,2538,97,0
36.2,62,948,78,0
30.0,65,2754,70,0
33.7,84,1135,18,1
11.2,31,1501,47,0
24.5,64,883,96,0
36.4,92,1451,9,1
25.3,65,2223,41,0
38.6,89,587,28,1
22.8,21,4110,11,1
20.5,92,584,43,0
11.5,77,4862,77,0
17.5,64,1379,10,1
40.7,45,4644,56,0
30.8,93,624,94,0
11.2,45,4019,2,1
26.3,37,390,45,0
31.8,28,3991,49,1
35.2,56,3969,30,1
14.4,31,684,15,1
20.6,36,2478,85,0
16.9,30,2518,90,0
30.5,89,3262,53,0
28.0,26,3185,73,0
16.7,39,4919,81,0
13.0,34,3057,10,1
10.0,81,4915,90,0
18.2,13,4350,61,0
30.0,58,4469,93,0
11.2,83,1492,99,0
35.9,19,3221,60,0
12.1,93,3066,0,1
34.0,46,724,90,0
10.9,21,2515,62,0
41.8,42,2638,65,0
13.9,71,1370,25,0
39.2,34,1995,100,0
13.5,38,1031,4,1
40.4,24,719,92,0
25.8,91,3232,66,0
36.1,86,916,32,1
38.2,54,167,79,0
12.0,45,4480,86,0
32.3,14,2412,82,0
19.9,20,1425,41,0
36.8,85,4967,48,0
28.5,36,2444,98,0
37.9,48,4970,27,1
22.0,70,1353,64,0
22.2,11,3664,22,1
38.5,35,4723,43,0
33.4,85,1420,1,1
28.5,91,1828,1,1
37.2,24,2289,78,0
37.5,40,1957,48,0
15.0,47,1928,87,0
28.4,37,4008,41,0
18.8,32,177,32,0
41.8,79,4924,32,1
33.1,14,2819,22,1
30.2,21,953,29,1
32.9,54,4716,70,0
26.2,38,2638,32,0
40.8,78,3840,1,1
11.1,20,3642,29,1
13.3,55,673,37,0
40.9,64,201,99,0
37.7,70,4868,55,0
27.1,12,3190,96,0
27.4,42,3631,32,0
36.7,30,2824,78,0
29.9,25,1298,34,0
41.8,71,77,74,0
25.2,77,552,73,0
40.5,33,4001,43,0
26.2,82,2306,9,1
36.8,51,1484,49,0
25.5,73,2524,92,0
25.4,18,610,72,0
20.3,32,3126,88,0
22.5,23,4587,82,0
39.8,68,2782,52,0
40.9,41,4344,7,1
18.8,37,980,8,1
32.3,51,3029,31,1
19.9,43,2124,39,0
31.6,80,3807,80,0
29.1,58,1579,40,0
29.6,90,801,93,0
31.7,41,2412,73,0
26.4,85,1928,88,0
32.3,49,933,57,0
25.5,35,3458,54,0
27.4,12,4349,54,0
14.6,92,1894,97,0
33.7,51,2195,5,1
36.3,25,2177,23,1
41.6,83,397,4,1
16.8,63,2116,70,0
25.3,30,1457,22,0
37.6,24,1001,21,1
22.3,46,1534,53,0
33.6,75,3740,57,0
30.1,56,1307,7,1
35.8,82,4738,33,1
10.8,33,3991,40,0
13.5,34,550,65,0
40.8,57,1180,2,1
14.7,81,1989,22,0
34.0,34,4944,24,1
26.7,16,1484,66,0
19.4,61,731,76,0
37.6,53,2873,82,0
39.5,91,2683,97,0
11.9,44,3382,67,0
33.6,87,194,35,1
24.4,63,4845,49,0
36.8,33,1959,94,0
25.3,93,4742,22,0
22.7,66,2780,96,0
25.6,15,872,72,0
36.0,60,2141,61,0
34.9,63,2171,11,1
28.3,25,2834,35,1
32.8,51,2857,1,1
34.8,46,1275,17,1
33.3,82,2332,80,0
36.3,12,4453,80,0
40.9,21,1286,36,1
35.1,22,1663,74,0
30.6,66,3353,30,1
33.5,15,3815,89,0
17.2,11,2261,7,1
17.4,25,3731,65,0
36.1,21,2866,4,1
14.7,88,1647,61,0
30.7,82,1549,14,1
33.1,80,4123,25,1
30.0,22,4294,18,1
36.0,33,414,81,0
34.4,34,731,77,0
15.2,65,1847,30,0
11.6,10,3970,79,0
20.6,60,4555,79,0
10.0,14,3004,50,0
12.9,92,1747,87,0
15.2,81,4302,37,0
33.9,15,4297,43,1
33.1,77,3234,26,1
22.0,87,4558,91,0
23.0,66,2222,66,0
38.5,34,4610,35,1
16.2,30,4794,72,0
35.2,57,3424,34,1
16.3,29,425,46,0
22.6,75,3363,9,1
16.0,33,2674,57,0
33.3,73,1606,40,0
10.5,95,984,68,0
25.9,84,1795,96,0
32.6,20,3645,0,1
24.8,41,4592,58,0
13.8,45,140,55,0
40.2,54,1440,5,1
39.6,30,4681,10,1
40.6,36,2378,28,1
37.2,45,523,78,0
30.9,46,1734,32,1
31.2,84,3915,100,0
34.5,45,3463,71,0
40.1,16,506,66,0
12.2,70,293,74,0
12.5,59,1899,76,0
41.0,39,1874,12,1
22.0,51,285,56,0
18.6,48,1623,27,0
32.9,49,2205,92,0
12.1,69,995,29,0
18.7,67,2075,41,0
20.0,48,4629,47,0
31.5,25,3938,3,1
19.6,29,250,40,0
30.7,60,3251,85,0
23.3,72,4446,78,0
29.9,24,3603,97,0
35.7,53,534,39,1
22.1,35,970,99,0
10.7,66,2891,42,0
13.4,74,2459,3,1
10.2,62,971,14,1
11.9,32,4756,70,0
29.4,43,58,20,0
40.5,38,4431,67,0
30.2,65,1201,42,0
24.3,27,1757,93,0
37.6,22,4269,48,1
38.7,25,798,65,0
37.8,11,4283,81,0
16.6,78,3763,94,0
18.3,12,1270,65,0
34.9,63,2064,29,1
26.2,15,2332,49,1
38.6,28,2424,41,1
34.1,17,487,56,0
40.9,25,701,24,1
25.2,63,3155,4,1
15.7,95,308,94,0
41.6,25,1523,54,0
32.1,54,4191,88,0
40.7,51,4581,91,0
27.3,15,1318,52,0
37.2,46,49,46,0
24.1,20,3913,13,1
26.7,78,1395,96,0
20.0,30,4488,14,1
31.3,53,1548,50,0
39.1,19,397,97,0
10.1,76,898,14,1
25.6,37,112,59,0
11.4,47,4747,42,0
34.6,29,313,48,0
26.6,45,2982,59,0
15.2,33,4710,70,0
36.1,14,4260,85,0
41.6,44,2017,93,0
22.0,89,2869,76,0
13.8,16,3056,35,1
27.7,94,1056,55,0
10.8,28,2848,84,0
29.5,30,4872,81,0
35.8,17,74,73,0
17.4,16,4789,52,0
13.0,86,4915,11,1
38.7,70,1120,80,0
37.8,72,2253,48,0
26.7,68,4633,63,0
13.7,41,4369,90,0
13.0,18,4987,95,0
12.8,75,3760,68,0
23.0,36,3746,95,0
21.7,13,612,35,0
38.5,18,2560,66,0
17.7,40,4059,16,1
30.4,67,1767,11,1
34.5,44,1009,29,1
14.0,39,3956,37,0
20.4,79,4739,35,0
37.7,81,2891,96,0
36.0,74,418,14,1
31.9,84,3278,95,0
36.6,28,3837,6,1
36.6,42,1191,9,1
20.7,38,1388,40,0
41.8,72,2068,75,0
26.2,82,3289,66,0
19.2,35,3543,76,0
36.7,17,4318,20,1
35.8,83,3504,100,0
20.8,46,2106,90,0
24.1,88,3921,60,0
32.2,92,2926,88,0
21.0,33,676,30,0
36.3,19,3458,47,1
23.8,28,1248,84,0
35.8,86,2341,93,0
28.0,15,1961,54,0
24.7,48,1325,21,0
11.5,13,2103,94,0
28.4,18,4496,96,0
40.2,93,86,41,0
13.2,95,3192,78,0
10.5,83,4214,82,0
19.5,50,2556,1,1
24.8,88,2526,44,0
20.8,28,2445,20,1
14.1,58,2242,96,0
25.2,15,600,19,1
15.4,86,1838,2,1
20.7,92,507,72,0
41.2,17,762,0,1
22.6,93,4646,28,0
16.5,12,2560,37,1
24.2,13,4967,54,0
33.7,10,148,97,0
35.3,35,2517,45,0
26.5,57,1319,40,0
15.3,46,2533,45,0
39.1,27,1504,33,1
13.3,19,1046,27,0
19.3,70,4658,11,1
18.4,27,2678,36,1
35.1,47,218,51,0
15.4,30,3792,31,0
41.9,14,298,69,0
29.7,57,4895,23,0
18.5,25,945,31,0
25.3,10,611,72,0
22.5,21,2715,85,0
13.7,16,1744,96,0
34.5,65,4037,92,0
27.9,61,2555,35,0
17.5,79,4415,88,0
29.6,91,4487,37,0
22.9,45,1289,78,0
20.5,44,115,84,0
34.0,92,3923,3,1
38.4,36,3303,56,0
16.7,85,1128,63,0
17.6,38,841,9,1
15.5,60,4980,63,0
34.9,67,3161,44,0
21.8,12,1631,9,1
10.0,67,2059,77,0
32.4,68,1013,12,1
11.4,90,935,17,1
24.3,48,3008,86,0
21.8,30,142,69,0
24.4,52,4712,1,1
19.1,90,1321,74,0
34.6,52,4000,29,1
17.9,34,2200,95,0
20.5,85,2357,97,0
22.5,19,269,51,0
15.8,12,753,11,1
21.5,22,2267,26,1
32.0,31,1064,69,0
16.2,46,4716,31,0
30.3,44,2139,21,1
38.1,37,4210,10,1
27.5,36,3146,3,1
20.5,41,2242,41,0
22.1,36,1108,49,0
16.9,59,3446,1,1
40.9,74,849,25,1
24.2,78,952,50,0
34.1,77,3313,90,0
32.7,14,3961,65,0
41.5,32,2104,44,0
13.3,71,1961,83,0
17.6,15,1752,7,1
37.5,53,3354,50,0
24.2,78,1753,91,0
23.4,35,36,92,0
37.2,49,4283,47,0
22.9,65,4580,52,0
20.6,13,745,25,0
23.0,89,2597,58,0
18.7,40,2005,16,1
10.4,17,4576,83,0
11.0,52,378,33,0
32.3,22,3438,8,1
33.1,31,2355,40,0
35.4,58,4617,75,0
34.9,54,761,78,0
26.8,46,2540,80,0
39.8,71,2736,94,0
11.3,76,1617,62,0
32.7,12,1433,42,0
29.9,90,4907,16,1
15.3,33,2617,9,1
25.2,34,2821,98,0
23.8,25,3489,64,0
10.5,77,1211,1,1
18.2,69,2754,77,0
26.7,37,3461,39,0
24.5,68,733,59,0
35.7,51,3299,96,0
40.1,71,2357,91,0
36.4,79,261,50,0
26.4,88,4120,58,0
16.2,38,1239,20,0
35.0,84,156,9,1
39.3,76,416,93,0
24.7,28,3348,10,1
26.5,94,1350,61,0
26.3,17,679,28,0
38.9,76,4756,73,0
16.4,89,4448,15,1
26.6,17,4498,100,0
40.0,34,741,100,0
21.5,94,1476,19,1
25.1,61,3140,39,0
19.8,89,4177,61,0
27.2,68,4304,95,0
19.4,75,3252,94,0
38.9,45,2701,64,0
15.9,89,1662,27,0
32.2,76,2582,20,1
41.5,94,350,13,1
13.8,40,2480,60,0
26.7,44,297,92,0
13.7,18,3113,77,0
22.9,61,2538,33,0
19.3,60,2384,67,0
11.0,86,4290,11,1
26.9,89,688,82,0
29.8,72,943,47,0
21.9,27,103,76,0
33.8,68,183,5,1
34.6,94,2865,93,0
18.1,91,560,48,0
25.3,43,4439,45,0
32.6,84,405,33,1
15.7,80,3961,99,0
31.9,10,1695,81,0
33.8,11,1624,43,0
17.0,18,1611,94,0
12.4,55,4072,81,0
38.8,20,417,34,1
20.1,30,4558,23,0
15.4,23,2664,72,0
31.6,73,327,71,0
18.6,29,1264,91,0
41.1,18,4809,55,0
33.7,95,711,80,0
30.1,30,469,51,0
22.5,64,342,92,0
12.1,62,1127,90,0
35.9,62,1687,72,0
26.3,47,1569,70,0
27.6,14,75,15,1
18.7,63,2479,40,0
37.9,58,4036,58,0
34.4,76,4496,76,0
16.5,73,1653,2,1
19.3,17,1423,89,0
14.7,83,2631,32,0
29.8,12,4862,9,1
18.0,61,1489,94,0
17.5,28,3482,18,1
14.8,19,3466,69,0
38.1,23,4985,34,1
34.2,19,2563,99,0
11.2,31,341,2,1
19.0,49,3349,97,0
40.3,45,829,100,0
18.2,55,483,70,0
15.4,87,4061,88,0
26.2,55,387,70,0
38.4,62,4189,38,1
17.7,61,2944,92,0
33.3,47,1186,85,0
38.7,87,828,36,1
33.8,49,3633,62,0
27.5,19,2480,27,1
41.6,40,4012,33,1
19.8,42,677,49,0
40.4,67,3764,13,1
33.5,18,4057,68,0
22.1,93,2040,49,0
29.3,55,2448,59,0
30.5,83,622,61,0
21.8,34,4841,56,0
35.4,73,4200,50,0
35.7,93,3486,20,1
35.7,68,3859,88,0
38.8,10,3948,52,0
13.1,22,3999,84,0
37.9,44,200,44,0
10.7,88,1893,40,0
34.5,52,3307,84,0
40.5,50,929,99,0
16.7,28,2380,83,0
19.4,50,3875,22,0
16.9,92,4293,46,0
12.0,63,3156,44,0
32.9,54,1039,94,0
26.3,80,4396,1,1
18.9,41,2169,7,1
25.9,48,596,78,0
38.0,95,1634,40,0
28.2,87,1863,19,1
36.9,40,4696,12,1
27.4,83,2114,6,1
26.8,94,2866,48,0
39.8,61,2839,76,0
24.7,53,4529,79,0
15.2,15,1364,52,0
13.4,80,2159,8,1
11.6,11,2512,28,1
23.1,16,3120,70,0
11.1,89,1582,27,0
38.0,88,2359,11,1
38.2,45,4575,7,1
26.0,25,1666,92,0
40.3,15,4411,91,0
18.2,88,1757,42,0
19.9,31,3563,71,0
14.2,78,2808,8,1
17.6,26,3770,67,0
32.5,89,2309,55,0
19.3,27,3947,87,0
18.0,48,3195,100,0
25.1,47,472,62,0
13.2,55,3539,92,0
20.7,21,542,34,0
15.0,62,3398,76,0
25.6,49,4325,54,0
13.1,19,1078,17,1
31.9,50,1304,69,0
39.9,28,1637,15,1
23.0,19,780,23,0
24.6,29,2196,97,0
11.4,74,4923,65,0
23.8,42,2786,35,0
31.3,94,3124,33,1
28.7,53,2986,36,0
33.9,61,512,19,1
28.9,68,4679,75,0
10.2,25,750,71,0
12.0,61,4172,2,1
19.3,54,656,34,0
20.5,56,2383,19,1
12.1,74,413,93,0
12.7,66,840,81,0
11.7,25,3523,87,0
38.4,81,3969,12,1
26.0,68,1668,82,0
33.0,77,4253,68,0
26.0,34,4726,0,1
14.1,19,2976,32,1
35.5,45,2929,14,1
29.4,74,151,40,0
20.1,37,1996,14,1
10.4,50,2564,72,0
39.3,13,2775,22,1
11.9,29,4736,87,0
35.7,83,552,9,1
19.1,81,4662,98,0
22.8,17,1812,91,0
21.2,63,4312,42,0
41.9,12,576,20,1
14.6,12,147,58,0
10.8,52,4434,63,0
32.8,15,1085,76,0
33.3,66,2056,31,1
18.8,70,866,12,1
20.7,93,1180,38,0
20.4,16,555,71,0
10.1,37,1156,80,0
35.0,87,2782,82,0
34.3,39,108,12,1
19.8,23,1089,27,0
41.7,59,648,70,0
10.5,68,3791,48,0
41.8,46,119,13,1
16.8,32,2331,29,0
36.2,37,4451,74,0
31.2,13,1281,55,0
32.6,21,4966,3,1
16.8,89,2897,17,1
21.3,75,1691,96,0
21.2,66,4705,16,1
19.8,79,4837,36,0
21.2,21,3157,31,1
37.9,63,451,2,1
38.8,14,908,74,0
20.9,83,4001,32,0
31.7,23,2069,73,0
18.1,19,2988,57,0
32.0,16,3630,100,0
14.4,91,2776,67,0
26.6,37,43,23,0
35.4,19,2610,8,1
12.8,47,2209,65,0
21.7,32,3777,21,0
18.2,18,2628,50,0
22.4,17,152,52,0
22.0,39,2101,42,0
11.6,92,1996,38,0
38.0,68,2629,47,0
10.4,61,1692,6,1
32.7,92,1219,0,1
21.4,88,4034,9,1
29.1,39,44,73,0
28.8,68,3583,81,0
15.8,81,4948,36,0
10.1,44,4481,16,1
32.3,95,2517,41,0
34.7,36,1011,56,0
31.0,20,2504,70,0
39.7,74,728,57,0
37.7,28,2448,54,0
15.2,37,4355,95,0
32.6,45,1356,99,0
14.1,17,3279,97,0
27.3,55,4070,14,1
39.7,95,4007,80,0
26.0,15,3582,30,1
21.8,74,3887,24,0
39.2,51,347,78,0
25.4,82,2594,26,0
34.6,27,484,56,0
35.0,57,4155,17,1
19.0,93,499,28,0
10.6,74,2514,0,1
40.0,47,4,29,1
11.2,13,2311,31,1
39.0,43,2801,100,0
26.0,22,1319,37,0
41.1,37,3168,79,0
22.7,47,592,19,1
38.0,16,3027,28,1
19.8,94,1439,90,0
13.4,94,997,85,0
28.7,86,2293,75,0
28.9,86,2809,76,0
39.3,14,3699,89,0
14.4,63,519,82,0
26.2,68,453,27,0
33.9,73,1936,39,1
28.1,30,931,5,1
33.8,60,1472,30,1
41.9,86,2125,87,0
23.9,34,220,68,0
10.8,15,3504,71,0
31.5,54,2757,70,0
38.7,79,2779,18,1
12.6,83,1740,56,0
15.0,26,3416,7,1
34.1,11,3126,47,1
15.7,64,2157,99,0
21.8,63,3830,83,0
21.7,37,4258,65,0
10.8,50,1052,31,0
38.0,29,1346,31,1
36.4,15,24,98,0
17.3,70,1911,70,0
27.2,17,36,8,1
20.8,56,403,30,0
16.9,29,1017,13,1
38.9,46,2495,97,0
17.4,88,2969,41,0
28.7,89,1952,0,1
18.8,63,1943,28,0
30.7,29,3763,41,1
33.7,40,4656,40,0
22.3,52,3637,78,0
21.0,11,27,1,1
35.7,14,2264,23,1
10.4,73,3699,2,1
29.9,23,3907,57,0
26.9,74,3511,2,1
27.6,65,2541,78,0
38.9,54,392,70,0
10.6,35,2322,95,0
24.1,10,630,71,0
12.2,14,1173,72,0
34.9,94,3804,27,1
32.8,49,4288,34,1
39.2,60,4492,89,0
24.8,95,4736,93,0
36.1,78,3673,47,0
38.2,88,513,46,0
16.6,41,577,34,0
37.3,56,3296,20,1
15.5,18,1826,65,0
11.8,21,62,35,0
29.1,48,1511,60,0
19.1,44,4387,78,0
35.5,43,3662,64,0
34.8,77,3901,7,1
30.2,65,364,58,0
38.3,71,632,26,1
33.7,59,4125,100,0
34.5,37,193,58,0
34.5,12,3877,54,0
35.9,86,2549,65,0
18.9,38,1061,17,1
28.8,28,1783,9,1
22.0,36,4685,90,0
20.7,26,1598,87,0
37.9,48,2638,57,0
19.3,68,722,28,0
15.6,86,4105,59,0
16.2,38,1091,37,0
22.3,38,1651,3,1
38.7,35,4001,42,0
11.9,93,3079,6,1
33.8,53,518,29,1
19.7,10,1420,14,1
29.2,72,4584,53,0
24.4,10,3372,17,1
34.9,36,2353,19,1
28.6,40,2386,38,0
28.6,79,3342,96,0
37.3,77,4924,7,1
16.4,72,1049,1,1
22.6,30,2471,41,0
34.7,89,4018,28,1
32.1,55,1444,35,1
37.5,49,4855,83,0
31.9,23,482,21,1
24.9,56,1255,87,0
19.6,29,4101,69,0
37.1,38,2269,12,1
23.4,26,3443,83,0
27.1,25,3944,25,1
37.3,17,4919,94,0
41.5,51,3819,51,0
15.6,94,4419,98,0
21.1,95,2394,74,0
17.7,41,4514,56,0
23.6,12,3344,23,1
26.5,20,3263,97,0
29.0,32,134,57,0
40.2,11,1616,63,0
28.3,42,3722,48,0
27.1,81,180,43,0
13.0,82,4674,47,0
29.3,48,4056,76,0
37.5,83,2812,91,0
17.0,51,4175,77,0
39.1,31,2190,34,1
19.9,81,4734,15,1
26.0,25,1069,75,0
39.0,94,2660,75,0
16.1,90,2954,2,1
10.1,29,864,65,0
26.1,60,2577,17,1
15.1,85,809,44,0
25.3,28,1630,1,1
40.9,32,1978,64,0
34.8,81,2489,51,0
10.9,20,4289,79,0
37.4,38,2620,4,1
21.1,29,1321,7,1
21.3,66,1505,96,0
31.5,53,4428,27,1
23.5,62,4475,52,0
32.6,77,2462,84,0
16.6,31,2783,57,0
10.5,40,1060,43,0
41.6,55,4162,92,0
20.1,57,3281,36,0
23.0,44,3601,98,0
27.7,83,3258,56,0
